EVENT_DATE_YEAR,NO_OF_RUNS,SPECIES_NAME,LATIN_NAME,ALL_RUNS,EVENT_DATE,Average_count
2014,1,Atlantic salmon,Salmo salar,83,23/09/2014,83
2014,1,Brown / sea trout,Salmo trutta,32,23/09/2014,32
2012,1,Atlantic salmon,Salmo salar,57,13/07/2012,57
2012,1,Brown / sea trout,Salmo trutta,87,13/07/2012,87
2012,1,Atlantic salmon,Salmo salar,35,10/10/2012,35
2012,1,Brown / sea trout,Salmo trutta,50,10/10/2012,50
2013,1,Atlantic salmon,Salmo salar,87,19/07/2013,87
2013,1,Brown / sea trout,Salmo trutta,55,19/07/2013,55
2013,1,Atlantic salmon,Salmo salar,87,27/09/2013,87
2013,1,Brown / sea trout,Salmo trutta,44,27/09/2013,44
2014,1,Atlantic salmon,Salmo salar,97,02/07/2014,97
2014,1,Brown / sea trout,Salmo trutta,60,02/07/2014,60
2014,1,European eel,Anguilla anguilla,1,02/07/2014,1
2014,1,Atlantic salmon,Salmo salar,87,23/09/2014,87
2014,1,Brown / sea trout,Salmo trutta,51,23/09/2014,51
2015,1,Atlantic salmon,Salmo salar,39,01/07/2015,39
2015,1,Brown / sea trout,Salmo trutta,21,01/07/2015,21
2015,1,Atlantic salmon,Salmo salar,26,28/09/2015,26
2015,1,Brown / sea trout,Salmo trutta,35,28/09/2015,35
2015,1,European eel,Anguilla anguilla,1,28/09/2015,1
2016,1,Atlantic salmon,Salmo salar,11,06/07/2016,11
2016,1,Brown / sea trout,Salmo trutta,20,06/07/2016,20
2016,1,Atlantic salmon,Salmo salar,8,05/10/2016,8
2016,1,Brown / sea trout,Salmo trutta,22,05/10/2016,22
2016,1,European eel,Anguilla anguilla,1,05/10/2016,1
2017,1,Atlantic salmon,Salmo salar,7,10/07/2017,7
2017,1,Brown / sea trout,Salmo trutta,40,10/07/2017,40
2017,1,Atlantic salmon,Salmo salar,8,19/09/2017,8
2017,1,Brown / sea trout,Salmo trutta,40,19/09/2017,40
2018,1,Atlantic salmon,Salmo salar,47,11/07/2018,47
2018,1,Brown / sea trout,Salmo trutta,64,11/07/2018,64
2018,1,Atlantic salmon,Salmo salar,30,03/10/2018,30
2018,1,Brown / sea trout,Salmo trutta,41,03/10/2018,41
2012,1,Atlantic salmon,Salmo salar,44,13/07/2012,44
2012,1,Brown / sea trout,Salmo trutta,101,13/07/2012,101
2012,1,Atlantic salmon,Salmo salar,32,10/10/2012,32
2012,1,Brown / sea trout,Salmo trutta,60,10/10/2012,60
2013,1,Atlantic salmon,Salmo salar,63,19/07/2013,63
2013,1,Brown / sea trout,Salmo trutta,64,19/07/2013,64
2013,1,Brown / sea trout,Salmo trutta,34,27/09/2013,34
2013,1,Atlantic salmon,Salmo salar,56,27/09/2013,56
2014,1,Atlantic salmon,Salmo salar,48,02/07/2014,48
2014,1,Brown / sea trout,Salmo trutta,24,02/07/2014,24
2014,1,Atlantic salmon,Salmo salar,68,23/09/2014,68
2014,1,Brown / sea trout,Salmo trutta,25,23/09/2014,25
2014,1,Atlantic salmon,Salmo salar,339,21/07/2014,339
2014,1,Brown / sea trout,Salmo trutta,105,21/07/2014,105
2015,1,Atlantic salmon,Salmo salar,91,23/07/2015,91
2015,1,Brown / sea trout,Salmo trutta,100,23/07/2015,100
2021,1,Atlantic salmon,Salmo salar,31,23/06/2021,31
2021,1,Brown / sea trout,Salmo trutta,158,23/06/2021,158
2021,1,European eel,Anguilla anguilla,1,23/06/2021,1
2015,1,Atlantic salmon,Salmo salar,78,23/07/2015,78
2015,1,Brown / sea trout,Salmo trutta,88,23/07/2015,88
2021,1,Atlantic salmon,Salmo salar,7,23/06/2021,7
2021,1,Brown / sea trout,Salmo trutta,197,23/06/2021,197
2012,1,Atlantic salmon,Salmo salar,25,24/07/2012,25
2012,1,Brown / sea trout,Salmo trutta,45,24/07/2012,45
2012,1,Atlantic salmon,Salmo salar,21,22/10/2012,21
2012,1,Brown / sea trout,Salmo trutta,29,22/10/2012,29
2013,1,Atlantic salmon,Salmo salar,59,15/07/2013,59
2013,1,Brown / sea trout,Salmo trutta,53,15/07/2013,53
2013,1,Atlantic salmon,Salmo salar,40,24/09/2013,40
2013,1,Brown / sea trout,Salmo trutta,64,24/09/2013,64
2014,1,Atlantic salmon,Salmo salar,60,03/07/2014,60
2014,1,Brown / sea trout,Salmo trutta,65,03/07/2014,65
2014,1,Atlantic salmon,Salmo salar,37,03/10/2014,37
2014,1,Brown / sea trout,Salmo trutta,39,03/10/2014,39
2015,1,Atlantic salmon,Salmo salar,24,03/07/2015,24
2015,1,Brown / sea trout,Salmo trutta,43,03/07/2015,43
2015,1,European eel,Anguilla anguilla,1,03/07/2015,1
2015,1,Atlantic salmon,Salmo salar,18,01/10/2015,18
2015,1,Brown / sea trout,Salmo trutta,29,01/10/2015,29
2016,1,Atlantic salmon,Salmo salar,32,14/07/2016,32
2016,1,Brown / sea trout,Salmo trutta,39,14/07/2016,39
2016,1,Atlantic salmon,Salmo salar,25,12/10/2016,25
2016,1,Brown / sea trout,Salmo trutta,15,12/10/2016,15
2017,1,Atlantic salmon,Salmo salar,24,17/07/2017,24
2017,1,Brown / sea trout,Salmo trutta,25,17/07/2017,25
2017,1,Atlantic salmon,Salmo salar,22,22/09/2017,22
2017,1,Brown / sea trout,Salmo trutta,33,22/09/2017,33
2018,1,Atlantic salmon,Salmo salar,126,10/07/2018,126
2018,1,Brown / sea trout,Salmo trutta,59,10/07/2018,59
2018,1,Atlantic salmon,Salmo salar,127,08/10/2018,127
2018,1,Brown / sea trout,Salmo trutta,61,08/10/2018,61
2012,1,Atlantic salmon,Salmo salar,9,24/07/2012,9
2012,1,Brown / sea trout,Salmo trutta,33,24/07/2012,33
2012,1,Atlantic salmon,Salmo salar,14,22/10/2012,14
2012,1,Brown / sea trout,Salmo trutta,39,22/10/2012,39
2013,1,Atlantic salmon,Salmo salar,13,15/07/2013,13
2013,1,Brown / sea trout,Salmo trutta,60,15/07/2013,60
2013,1,Atlantic salmon,Salmo salar,40,24/09/2013,40
2013,1,Brown / sea trout,Salmo trutta,57,24/09/2013,57
2013,1,European eel,Anguilla anguilla,2,24/09/2013,2
2014,1,Atlantic salmon,Salmo salar,30,03/07/2014,30
2014,1,Brown / sea trout,Salmo trutta,55,03/07/2014,55
2014,1,Atlantic salmon,Salmo salar,11,03/10/2014,11
2014,1,Brown / sea trout,Salmo trutta,40,03/10/2014,40
2012,1,Atlantic salmon,Salmo salar,18,24/07/2012,18
2012,1,Brown / sea trout,Salmo trutta,87,24/07/2012,87
2013,1,Atlantic salmon,Salmo salar,16,15/07/2013,16
2013,1,Brown / sea trout,Salmo trutta,63,15/07/2013,63
2013,1,Atlantic salmon,Salmo salar,24,26/09/2013,24
2013,1,Brown / sea trout,Salmo trutta,83,26/09/2013,83
2014,1,Atlantic salmon,Salmo salar,15,03/07/2014,15
2014,1,Brown / sea trout,Salmo trutta,86,03/07/2014,86
2014,1,Atlantic salmon,Salmo salar,10,14/10/2014,10
2014,1,Brown / sea trout,Salmo trutta,66,14/10/2014,66
2015,1,Atlantic salmon,Salmo salar,25,06/07/2015,25
2015,1,Brown / sea trout,Salmo trutta,57,06/07/2015,57
2015,1,Atlantic salmon,Salmo salar,13,06/10/2015,13
2015,1,Brown / sea trout,Salmo trutta,35,06/10/2015,35
2016,1,Atlantic salmon,Salmo salar,18,14/07/2016,18
2016,1,Brown / sea trout,Salmo trutta,33,14/07/2016,33
2016,1,Atlantic salmon,Salmo salar,23,12/10/2016,23
2016,1,Brown / sea trout,Salmo trutta,21,12/10/2016,21
2017,1,Atlantic salmon,Salmo salar,9,17/07/2017,9
2017,1,Brown / sea trout,Salmo trutta,54,17/07/2017,54
2017,1,Atlantic salmon,Salmo salar,10,22/09/2017,10
2017,1,Brown / sea trout,Salmo trutta,40,22/09/2017,40
2018,1,Atlantic salmon,Salmo salar,54,10/07/2018,54
2018,1,Brown / sea trout,Salmo trutta,62,10/07/2018,62
2018,1,European eel,Anguilla anguilla,1,10/07/2018,1
2018,1,Atlantic salmon,Salmo salar,40,08/10/2018,40
2018,1,Brown / sea trout,Salmo trutta,30,08/10/2018,30
2012,1,Atlantic salmon,Salmo salar,10,23/07/2012,10
2012,1,Brown / sea trout,Salmo trutta,44,23/07/2012,44
2012,1,Atlantic salmon,Salmo salar,5,22/10/2012,5
2012,1,Brown / sea trout,Salmo trutta,53,22/10/2012,53
2013,1,Atlantic salmon,Salmo salar,10,15/07/2013,10
2013,1,Brown / sea trout,Salmo trutta,50,15/07/2013,50
2013,1,Atlantic salmon,Salmo salar,5,24/09/2013,5
2013,1,Brown / sea trout,Salmo trutta,67,24/09/2013,67
2013,1,European eel,Anguilla anguilla,2,24/09/2013,2
2014,1,Atlantic salmon,Salmo salar,7,03/07/2014,7
2014,1,Brown / sea trout,Salmo trutta,54,03/07/2014,54
2014,1,Atlantic salmon,Salmo salar,17,14/10/2014,17
2014,1,Brown / sea trout,Salmo trutta,56,14/10/2014,56
2015,1,Atlantic salmon,Salmo salar,15,06/07/2015,15
2015,1,Brown / sea trout,Salmo trutta,28,06/07/2015,28
2015,1,European eel,Anguilla anguilla,3,06/07/2015,3
2015,1,Atlantic salmon,Salmo salar,17,06/10/2015,17
2015,1,Brown / sea trout,Salmo trutta,33,06/10/2015,33
2016,1,Atlantic salmon,Salmo salar,7,15/07/2016,7
2016,1,Brown / sea trout,Salmo trutta,56,15/07/2016,56
2016,1,Atlantic salmon,Salmo salar,8,12/10/2016,8
2016,1,Brown / sea trout,Salmo trutta,41,12/10/2016,41
2017,1,Atlantic salmon,Salmo salar,8,17/07/2017,8
2017,1,Brown / sea trout,Salmo trutta,47,17/07/2017,47
2017,1,Atlantic salmon,Salmo salar,8,26/09/2017,8
2017,1,Brown / sea trout,Salmo trutta,37,26/09/2017,37
2018,1,Atlantic salmon,Salmo salar,17,10/07/2018,17
2018,1,Brown / sea trout,Salmo trutta,96,10/07/2018,96
2018,1,Atlantic salmon,Salmo salar,13,09/10/2018,13
2018,1,Brown / sea trout,Salmo trutta,62,09/10/2018,62
2012,1,Brown / sea trout,Salmo trutta,72,23/07/2012,72
2012,1,Atlantic salmon,Salmo salar,4,22/10/2012,4
2012,1,Brown / sea trout,Salmo trutta,70,22/10/2012,70
2012,1,European eel,Anguilla anguilla,1,22/10/2012,1
2013,1,Atlantic salmon,Salmo salar,3,17/07/2013,3
2013,1,Brown / sea trout,Salmo trutta,44,17/07/2013,44
2013,1,Atlantic salmon,Salmo salar,5,26/09/2013,5
2013,1,Brown / sea trout,Salmo trutta,80,26/09/2013,80
2014,1,Atlantic salmon,Salmo salar,16,04/07/2014,16
2014,1,Brown / sea trout,Salmo trutta,87,04/07/2014,87
2014,1,European eel,Anguilla anguilla,1,04/07/2014,1
2014,1,Atlantic salmon,Salmo salar,16,14/10/2014,16
2014,1,Brown / sea trout,Salmo trutta,87,14/10/2014,87
2014,1,European eel,Anguilla anguilla,1,14/10/2014,1
2015,1,Atlantic salmon,Salmo salar,22,06/07/2015,22
2015,1,Brown / sea trout,Salmo trutta,51,06/07/2015,51
2015,1,Atlantic salmon,Salmo salar,13,06/10/2015,13
2015,1,Brown / sea trout,Salmo trutta,37,06/10/2015,37
2016,1,Atlantic salmon,Salmo salar,3,15/07/2016,3
2016,1,Brown / sea trout,Salmo trutta,61,15/07/2016,61
2016,1,Atlantic salmon,Salmo salar,6,12/10/2016,6
2016,1,Brown / sea trout,Salmo trutta,54,12/10/2016,54
2017,1,Atlantic salmon,Salmo salar,6,17/07/2017,6
2017,1,Brown / sea trout,Salmo trutta,48,17/07/2017,48
2017,1,Atlantic salmon,Salmo salar,4,26/09/2017,4
2017,1,Brown / sea trout,Salmo trutta,44,26/09/2017,44
2018,1,Atlantic salmon,Salmo salar,11,10/07/2018,11
2018,1,Brown / sea trout,Salmo trutta,93,10/07/2018,93
2018,1,Atlantic salmon,Salmo salar,13,09/10/2018,13
2018,1,Brown / sea trout,Salmo trutta,60,09/10/2018,60
2012,1,Atlantic salmon,Salmo salar,1,24/07/2012,1
2012,1,Brown / sea trout,Salmo trutta,61,24/07/2012,61
2012,1,European eel,Anguilla anguilla,1,24/07/2012,1
2012,1,Atlantic salmon,Salmo salar,1,22/10/2012,1
2012,1,Brown / sea trout,Salmo trutta,69,22/10/2012,69
2013,1,Atlantic salmon,Salmo salar,5,17/07/2013,5
2013,1,Brown / sea trout,Salmo trutta,77,17/07/2013,77
2013,1,Brown / sea trout,Salmo trutta,98,26/09/2013,98
2014,1,Brown / sea trout,Salmo trutta,108,07/07/2014,108
2014,1,Brown / sea trout,Salmo trutta,72,14/10/2014,72
2014,1,European eel,Anguilla anguilla,1,14/10/2014,1
2015,1,Atlantic salmon,Salmo salar,2,06/07/2015,2
2015,1,Brown / sea trout,Salmo trutta,52,06/07/2015,52
2015,1,Atlantic salmon,Salmo salar,2,06/10/2015,2
2015,1,Brown / sea trout,Salmo trutta,56,06/10/2015,56
2016,1,Atlantic salmon,Salmo salar,1,15/07/2016,1
2016,1,Brown / sea trout,Salmo trutta,63,15/07/2016,63
2016,1,Atlantic salmon,Salmo salar,5,12/10/2016,5
2016,1,Brown / sea trout,Salmo trutta,60,12/10/2016,60
2017,1,Atlantic salmon,Salmo salar,5,17/07/2017,5
2017,1,Brown / sea trout,Salmo trutta,34,17/07/2017,34
2017,1,Atlantic salmon,Salmo salar,5,26/09/2017,5
2017,1,Brown / sea trout,Salmo trutta,32,26/09/2017,32
2018,1,Atlantic salmon,Salmo salar,4,10/07/2018,4
2018,1,Brown / sea trout,Salmo trutta,53,10/07/2018,53
2018,1,Atlantic salmon,Salmo salar,4,09/10/2018,4
2018,1,Brown / sea trout,Salmo trutta,64,09/10/2018,64
2012,1,Brown / sea trout,Salmo trutta,29,24/07/2012,29
2012,1,Atlantic salmon,Salmo salar,1,22/10/2012,1
2012,1,Brown / sea trout,Salmo trutta,36,22/10/2012,36
2013,1,Brown / sea trout,Salmo trutta,49,17/07/2013,49
2013,1,Brown / sea trout,Salmo trutta,54,26/09/2013,54
2014,1,Atlantic salmon,Salmo salar,1,07/07/2014,1
2014,1,Brown / sea trout,Salmo trutta,47,07/07/2014,47
2014,1,European eel,Anguilla anguilla,1,07/07/2014,1
2014,1,Brown / sea trout,Salmo trutta,45,14/10/2014,45
2015,1,Atlantic salmon,Salmo salar,3,06/07/2015,3
2015,1,Brown / sea trout,Salmo trutta,33,06/07/2015,33
2015,1,Atlantic salmon,Salmo salar,3,06/10/2015,3
2015,1,Brown / sea trout,Salmo trutta,29,06/10/2015,29
2016,1,Atlantic salmon,Salmo salar,4,15/07/2016,4
2016,1,Brown / sea trout,Salmo trutta,29,15/07/2016,29
2016,1,Brown / sea trout,Salmo trutta,43,12/10/2016,43
2017,1,Atlantic salmon,Salmo salar,2,17/07/2017,2
2017,1,Brown / sea trout,Salmo trutta,37,17/07/2017,37
2017,1,Atlantic salmon,Salmo salar,4,17/10/2017,4
2017,1,Brown / sea trout,Salmo trutta,25,17/10/2017,25
2018,1,Atlantic salmon,Salmo salar,13,10/07/2018,13
2018,1,Brown / sea trout,Salmo trutta,44,10/07/2018,44
2018,1,Atlantic salmon,Salmo salar,5,09/10/2018,5
2018,1,Brown / sea trout,Salmo trutta,43,09/10/2018,43
2012,1,Atlantic salmon,Salmo salar,2,24/07/2012,2
2012,1,Brown / sea trout,Salmo trutta,16,24/07/2012,16
2012,1,Atlantic salmon,Salmo salar,4,22/10/2012,4
2012,1,Brown / sea trout,Salmo trutta,17,22/10/2012,17
2013,1,Atlantic salmon,Salmo salar,1,17/07/2013,1
2013,1,Brown / sea trout,Salmo trutta,37,17/07/2013,37
2013,1,Atlantic salmon,Salmo salar,1,26/09/2013,1
2013,1,Brown / sea trout,Salmo trutta,38,26/09/2013,38
2014,1,Atlantic salmon,Salmo salar,1,07/07/2014,1
2014,1,Brown / sea trout,Salmo trutta,41,07/07/2014,41
2014,1,Atlantic salmon,Salmo salar,1,14/10/2014,1
2014,1,Brown / sea trout,Salmo trutta,27,14/10/2014,27
2015,1,Atlantic salmon,Salmo salar,5,06/07/2015,5
2015,1,Brown / sea trout,Salmo trutta,38,06/07/2015,38
2015,1,Atlantic salmon,Salmo salar,6,06/10/2015,6
2015,1,Brown / sea trout,Salmo trutta,34,06/10/2015,34
2016,1,Brown / sea trout,Salmo trutta,17,15/07/2016,17
2016,1,Brown / sea trout,Salmo trutta,16,12/10/2016,16
2017,1,Atlantic salmon,Salmo salar,3,17/07/2017,3
2017,1,Brown / sea trout,Salmo trutta,19,17/07/2017,19
2017,1,Brown / sea trout,Salmo trutta,25,17/10/2017,25
2018,1,Brown / sea trout,Salmo trutta,45,10/07/2018,45
2018,1,Atlantic salmon,Salmo salar,2,18/10/2018,2
2018,1,Brown / sea trout,Salmo trutta,36,18/10/2018,36
2012,1,Atlantic salmon,Salmo salar,37,23/07/2012,37
2012,1,Brown / sea trout,Salmo trutta,30,23/07/2012,30
2012,1,Atlantic salmon,Salmo salar,68,10/10/2012,68
2012,1,Brown / sea trout,Salmo trutta,31,10/10/2012,31
2013,1,Atlantic salmon,Salmo salar,69,11/07/2013,69
2013,1,Brown / sea trout,Salmo trutta,66,11/07/2013,66
2013,1,Atlantic salmon,Salmo salar,76,23/09/2013,76
2013,1,Brown / sea trout,Salmo trutta,65,23/09/2013,65
2014,1,Atlantic salmon,Salmo salar,89,01/07/2014,89
2014,1,Brown / sea trout,Salmo trutta,59,01/07/2014,59
2014,1,European eel,Anguilla anguilla,1,01/07/2014,1
2014,1,Atlantic salmon,Salmo salar,93,29/09/2014,93
2014,1,Brown / sea trout,Salmo trutta,79,29/09/2014,79
2012,1,Atlantic salmon,Salmo salar,77,23/07/2012,77
2012,1,Brown / sea trout,Salmo trutta,32,23/07/2012,32
2012,1,Atlantic salmon,Salmo salar,59,11/10/2012,59
2012,1,Brown / sea trout,Salmo trutta,30,11/10/2012,30
2013,1,Atlantic salmon,Salmo salar,64,11/07/2013,64
2013,1,Brown / sea trout,Salmo trutta,104,11/07/2013,104
2013,1,Atlantic salmon,Salmo salar,35,23/09/2013,35
2013,1,Brown / sea trout,Salmo trutta,61,23/09/2013,61
2014,1,Atlantic salmon,Salmo salar,56,01/07/2014,56
2014,1,Brown / sea trout,Salmo trutta,44,01/07/2014,44
2014,1,Atlantic salmon,Salmo salar,73,30/09/2014,73
2014,1,Brown / sea trout,Salmo trutta,65,30/09/2014,65
2015,1,Atlantic salmon,Salmo salar,50,03/07/2015,50
2015,1,Brown / sea trout,Salmo trutta,45,03/07/2015,45
2015,1,Atlantic salmon,Salmo salar,28,01/10/2015,28
2015,1,Brown / sea trout,Salmo trutta,36,01/10/2015,36
2016,1,Atlantic salmon,Salmo salar,12,14/07/2016,12
2016,1,Brown / sea trout,Salmo trutta,37,14/07/2016,37
2016,1,Atlantic salmon,Salmo salar,8,06/10/2016,8
2016,1,Brown / sea trout,Salmo trutta,20,06/10/2016,20
2017,1,Atlantic salmon,Salmo salar,7,13/07/2017,7
2017,1,Brown / sea trout,Salmo trutta,45,13/07/2017,45
2017,1,European eel,Anguilla anguilla,2,13/07/2017,2
2017,1,Atlantic salmon,Salmo salar,3,22/09/2017,3
2017,1,Brown / sea trout,Salmo trutta,28,22/09/2017,28
2018,1,Atlantic salmon,Salmo salar,7,09/07/2018,7
2018,1,Brown / sea trout,Salmo trutta,116,09/07/2018,116
2018,1,Atlantic salmon,Salmo salar,4,08/10/2018,4
2018,1,Brown / sea trout,Salmo trutta,74,08/10/2018,74
2012,1,Atlantic salmon,Salmo salar,32,23/07/2012,32
2012,1,Brown / sea trout,Salmo trutta,35,23/07/2012,35
2012,1,Atlantic salmon,Salmo salar,53,22/10/2012,53
2012,1,Brown / sea trout,Salmo trutta,40,22/10/2012,40
2013,1,Atlantic salmon,Salmo salar,50,11/07/2013,50
2013,1,Brown / sea trout,Salmo trutta,48,11/07/2013,48
2013,1,Atlantic salmon,Salmo salar,48,23/09/2013,48
2013,1,Brown / sea trout,Salmo trutta,64,23/09/2013,64
2014,1,Atlantic salmon,Salmo salar,48,01/07/2014,48
2014,1,Brown / sea trout,Salmo trutta,28,01/07/2014,28
2014,1,Atlantic salmon,Salmo salar,65,30/09/2014,65
2014,1,Brown / sea trout,Salmo trutta,35,30/09/2014,35
2012,1,Atlantic salmon,Salmo salar,50,25/07/2012,50
2012,1,Brown / sea trout,Salmo trutta,34,25/07/2012,34
2012,1,Atlantic salmon,Salmo salar,25,22/10/2012,25
2012,1,Brown / sea trout,Salmo trutta,36,22/10/2012,36
2013,1,Atlantic salmon,Salmo salar,52,11/07/2013,52
2013,1,Brown / sea trout,Salmo trutta,93,11/07/2013,93
2013,1,Atlantic salmon,Salmo salar,39,23/09/2013,39
2013,1,Brown / sea trout,Salmo trutta,92,23/09/2013,92
2014,1,Atlantic salmon,Salmo salar,60,02/07/2014,60
2014,1,Brown / sea trout,Salmo trutta,39,02/07/2014,39
2014,1,European eel,Anguilla anguilla,1,02/07/2014,1
2014,1,Atlantic salmon,Salmo salar,58,30/09/2014,58
2014,1,Brown / sea trout,Salmo trutta,84,30/09/2014,84
2015,1,Atlantic salmon,Salmo salar,42,03/07/2015,42
2015,1,Brown / sea trout,Salmo trutta,29,03/07/2015,29
2015,1,Atlantic salmon,Salmo salar,23,01/10/2015,23
2015,1,Brown / sea trout,Salmo trutta,45,01/10/2015,45
2016,1,Atlantic salmon,Salmo salar,8,14/07/2016,8
