,Date,Alky pH 4.5,Chloride Ion,Orthophospht,Sulphate SO4,Ammonia(N),TurbidityNTU,Temp Water,Cond @ 25C,Oxygen Diss,pH,BOD ATU,COD as O2,Nitrate-N,Nitrite-N,Hardness,SALinsitu,ALL_RUNS,Average_count,WQI,WQI clf
2,2012-01-05,181.4909090909091,113.36984126984127,0.5044102564102565,71.92,1.1846728395061727,14.75,7.390232558139535,1087.367088607595,10.031494382022473,7.860329670329671,16.17244680851064,140.8111111111111,10.844410256410256,0.0680465909090909,283.5,14.195,1.3333333333333333,1.3333333333333333,0.5737380443780072,3
5,2012-01-09,220.68421052631575,142.3015873015873,0.8191666666666667,886.4,2.830066265060241,9.246153846153849,9.04486111111111,1176.5,10.089863013698633,7.884347826086957,7.5751968503936995,66.10714285714286,10.654855263157897,0.0632915904543515,307.0,22.524548903620225,45.0,45.0,56.197425455189034,1
8,2012-01-16,216.92857142857144,361.46,0.4767441860465116,118.95,1.3552317880794702,35.1,4.5597890625,1490.1313432835818,11.696172839506172,7.743488372093022,22.51736434108527,147.39583333333334,10.564345679012346,0.0685536842105263,313.0257580640279,23.973,29.954545454545453,28.863636363636363,5.273402405782647,3
9,2012-01-17,235.390243902439,162.8142857142857,0.8191910112359553,213.33333333333331,4.351483443708609,16.451851851851853,3.95951048951049,1156.4493827160493,12.12423913043478,7.839619047619048,17.92378640776699,113.72456140350876,9.471520833333336,0.049162037037037,347.0,22.524548903620225,12.125,6.5,31.84130533446715,2
13,2012-01-23,224.80392156862743,105.85416666666669,0.4607029702970296,95.35454545454544,1.1120214285714285,9.292307692307691,6.882866666666668,1002.5068493150684,9.910886363636363,7.8903125,5.86569105691057,32.18367346938776,8.754666666666665,0.061221978021978,399.1818181818182,30.52625,2.2,1.4,38.05559957085406,2
19,2012-02-04,202.70232968862308,76.5,0.8255294117647058,27.9,0.495388888888889,4.5,3.068695652173913,1748.1666666666667,9.811428571428571,7.961176470588235,3.4227272727272724,259.46215133635064,7.50375,0.0288874999999999,298.0,22.524548903620225,42.93333333333333,17.8,37.42651160720586,2
20,2012-02-05,202.70232968862308,290.1617368496932,0.3950286830212012,287.0180996657894,2.3675,10.1380165853738,12.882616069580212,1115.134318689249,9.36983705890202,7.887049297876376,7.333333333333333,259.46215133635064,8.194472322502545,0.0632915904543515,313.0257580640279,22.524548903620225,39.75,20.75,46.72618781254056,2
22,2012-02-08,227.9692307692308,306.79259259259265,0.7984841666666667,89.25,1.550880918628636,10.31388888888889,3.462230769230769,2075.6516853932585,12.385744680851069,7.807619047619046,9.945425531914896,32.46875,9.52765909090909,0.0635010638297872,317.0,15.82,28.502857142857145,23.765714285714285,30.657027951206224,2
27,2012-02-20,211.79166666666663,189.70192307692307,0.2923928571428572,80.16,1.550880918628636,10.1380165853738,5.072222222222223,1065.9,12.785,8.0914,5.646808510638297,52.47368421052632,15.741236842105266,0.1085302325581395,212.025,0.5750000000000001,9.857142857142858,9.857142857142858,46.71744880746764,2
34,2012-03-05,221.83333333333331,103.24328358208956,0.3670744680851064,143.95999999999998,1.663820895522388,36.18260869565218,7.598207547169811,987.9080645161292,11.219305555555556,7.915098039215685,7.384953271028037,31.68888888888889,10.733632352941177,0.086335632183908,368.25714285714287,22.524548903620225,6.888888888888889,2.6666666666666665,81.79537959160982,0
35,2012-03-07,218.57534246575344,165.58611111111114,0.6968496732026144,67.36999999999999,1.2758447488584477,25.7,7.76783439490446,1075.1020408163265,10.87982456140351,8.007943925233645,20.259631901840493,130.6203125,11.414919354838712,0.0681824427480916,363.55555555555554,12.813333333333333,11.679245283018869,8.50943396226415,4.211094403142299,3
42,2012-03-19,197.0,610.9828947368421,0.3950286830212012,80.31176470588237,2.680635220125786,10.1380165853738,9.576124031007751,2305.038461538461,9.8950625,7.950555555555557,14.261544715447156,316.3333333333333,8.73913888888889,0.0756564102564102,325.8235294117647,22.524548903620225,12.11111111111111,6.388888888888889,18.004669972316346,3
46,2012-03-26,210.1153846153846,87.32413793103449,0.5109375,71.4,1.550880918628636,8.387500000000001,10.728333333333332,862.075,12.05220338983051,8.147246376811593,4.773389830508474,35.266666666666666,11.410666666666666,0.1146544117647059,244.33333333333331,23.945833333333336,16.714285714285715,16.714285714285715,53.99678893777554,1
60,2012-04-14,202.70232968862308,290.1617368496932,0.3950286830212012,287.0180996657894,1.7456666666666667,10.1380165853738,10.3875,1115.134318689249,9.36983705890202,7.887049297876376,6.807777777777778,259.46215133635064,8.194472322502545,0.0632915904543515,313.0257580640279,22.524548903620225,5.0,5.0,42.01285309494676,2
66,2012-04-23,213.8275862068965,1164.9170731707318,0.2961607142857143,66.68823529411765,1.8692604166666669,23.285714285714285,10.69958762886598,1115.134318689249,9.42667924528302,8.004000000000001,5.292592592592593,44.92307692307692,9.927941176470588,0.0548527272727272,333.375,30.70555555555556,6.333333333333333,3.1666666666666665,69.81991099577802,1
76,2012-05-08,234.25,435.359375,0.2759578947368421,480.04,0.7061257861635221,13.86818181818182,11.628956521739132,977.8125,10.45605633802817,7.909420289855072,4.777980769230769,62.04,8.386590361445784,0.0565233333333333,260.25,26.76058823529412,29.6,29.6,45.064145031066005,2
80,2012-05-14,220.5,61.625,0.267938775510204,71.78,1.3743870967741936,5.833333333333333,12.092222222222224,856.28,10.046785714285717,7.996206896551724,4.322650602409638,38.5,10.886122448979592,0.1319555555555555,239.0,22.524548903620225,19.285714285714285,7.857142857142857,47.051863128883255,2
82,2012-05-16,273.57142857142856,77.21538461538464,0.2198888888888888,100.43333333333334,0.7451720430107523,3.850000000000001,11.801571428571432,1764.4255319148936,11.275263157894736,8.193962962962964,3.785757575757576,44.875,11.19720930232558,0.0646065217391304,496.0,27.62218181818182,37.78378378378378,18.89189189189189,33.786746882543774,2
85,2012-05-21,228.67741935483872,90.87941176470588,0.1955573770491803,82.3,0.6932526315789473,5.6,11.816595744680848,957.4897959183672,10.311290322580646,8.006164383561643,4.467346938775511,33.285714285714285,7.343824561403509,0.0480626865671641,281.0,26.86382978723404,12.525,9.3,29.9255961391018,2
89,2012-05-25,235.95238095238096,107.34857142857142,0.3828548387096774,439.2299999999999,1.1076190476190475,4.716666666666667,16.961392405063293,1349.6774193548388,9.43969696969697,8.147105263157895,9.298068181818184,138.8125,9.07591891891892,0.0719824999999999,466.125,31.458684210526325,33.31428571428572,13.571428571428571,18.159665755419823,3
90,2012-05-28,222.86486486486487,330.1,0.289,210.0,0.8240083333333333,3.492307692307693,18.27861111111111,1575.301886792453,10.34765625,8.231486486486487,5.038352941176471,45.8,9.94906,0.1421555555555556,368.6666666666667,28.72433962264151,18.11111111111111,11.666666666666666,38.45505721283606,2
93,2012-05-31,196.8809523809524,1102.3864864864863,0.6169793814432989,44.35,3.1566056338028163,17.515151515151516,16.453523809523812,1236.5694444444443,8.032432432432433,7.951666666666669,8.794065934065932,118.22222222222224,8.456984848484849,0.0632915904543515,321.85714285714283,17.19222222222222,13.613636363636363,7.431818181818182,64.56937857967382,1
95,2012-06-04,202.70232968862308,39.86666666666667,0.044,287.0180996657894,0.078,3.5333333333333328,12.882616069580212,1115.134318689249,9.36983705890202,7.887049297876376,3.766666666666666,259.46215133635064,8.194472322502545,0.0632915904543515,313.0257580640279,22.524548903620225,108.0,108.0,22.63888179197167,3
96,2012-06-06,192.8809523809524,128.9105263157895,0.3812702702702703,66.2375,0.8099687499999999,4.286363636363636,14.526319444444445,821.7424242424242,9.461866666666667,7.916901408450701,7.122666666666667,54.17407407407408,9.813635135135137,0.0884567901234567,286.5,0.5857142857142856,42.78,22.06,23.48352102992379,3
98,2012-06-08,205.7391304347826,278.7808510638298,0.4020095238095238,87.4,0.7909124087591242,6.4350000000000005,13.73125,1121.015873015873,8.534102564102563,7.840229885057472,12.674456521739131,103.37435897435898,7.090231884057972,0.0776976744186046,239.5,32.45222222222222,11.767441860465116,10.953488372093023,0.11089012661134136,3
99,2012-06-09,202.70232968862308,290.1617368496932,0.3950286830212012,287.0180996657894,2.037125,10.1380165853738,15.1125,1115.134318689249,9.36983705890202,7.85,3.3912500000000003,259.46215133635064,8.194472322502545,0.0632915904543515,313.0257580640279,31.93,33.078048780487805,22.985365853658536,62.47758107015463,1
106,2012-06-18,213.0,56.125,0.2605849056603773,77.7,0.8786422018348624,8.614285714285716,15.17156626506024,763.6444444444444,9.435681818181818,7.832941176470587,3.478809523809524,28.166666666666668,9.496457142857142,0.0483209302325581,317.5,32.849999999999994,27.846153846153847,15.884615384615383,43.00992415568252,2
111,2012-06-24,202.70232968862308,165.0,0.3950286830212012,287.0180996657894,1.685375,10.1380165853738,15.48,1115.134318689249,9.36983705890202,7.887049297876376,6.739999999999999,259.46215133635064,8.194472322502545,0.0632915904543515,313.0257580640279,22.524548903620225,5.5,5.5,43.033867835621095,2
117,2012-07-02,220.7894736842105,56.74374999999999,0.7497604166666667,106.9,0.9139512195121952,4.4,15.323761467889913,784.4038461538462,9.172931034482758,7.962461538461538,4.068765432098766,14.217391304347826,7.235569230769231,0.0450757142857142,376.5,33.14851851851852,5.5,3.0,42.12056588820113,2
118,2012-07-06,212.4814814814815,62.52058823529413,0.2961730769230769,78.86666666666666,1.2358018867924532,20.330769230769235,16.967647058823527,2451.36,7.755932203389831,7.861967213114754,5.710000000000002,198.0527777777778,5.397954545454545,0.0549038461538461,198.26666666666665,22.358571428571427,10.071428571428571,5.785714285714286,56.62143949482059,1
119,2012-07-07,202.70232968862308,290.1617368496932,0.3950286830212012,287.0180996657894,0.9686470588235292,10.1380165853738,17.40357142857143,1115.134318689249,9.36983705890202,7.887049297876376,2.625185185185185,259.46215133635064,8.194472322502545,0.0632915904543515,313.0257580640279,22.524548903620225,3.6666666666666665,3.6666666666666665,55.491744701700554,1
121,2012-07-09,201.57142857142856,230.09649122807016,0.4000175438596491,98.8875,0.7628982035928146,12.9625,16.227984,816.859375,7.774623655913979,7.843213483146067,3.828712871287129,55.21666666666667,7.41290804597701,0.1202764705882352,305.17857142857144,31.53912765957446,43.84615384615385,43.51923076923077,56.362929734104476,1
126,2012-07-16,253.40740740740745,86.55977011494252,0.451900826446281,219.0684210526316,1.3848131868131868,11.624242424242423,14.795741935483871,903.3118279569892,8.045670103092784,7.873861386138615,6.7718584070796455,30.928571428571427,7.4122886597938145,0.0893132075471698,296.8,26.762727272727272,25.125,18.1875,44.60359874095973,2
133,2012-07-23,205.78125,89.7156862745098,0.3643372093023255,80.25,1.8479076923076925,13.875,17.22945945945946,1044.1967213114754,8.865932203389834,7.948799999999999,4.644907407407408,53.6,7.672407407407405,0.1210907692307692,288.8888888888889,32.449189189189184,28.14864864864865,24.35135135135135,65.46079495573608,1
140,2012-07-30,256.93617021276594,90.30377358490568,0.4656555555555556,92.85714285714286,2.6634965034965035,12.607142857142858,15.727952755905513,1012.25,9.270641025641028,8.041410256410257,13.642592592592594,87.75434782608696,8.31895,0.0998387096774193,334.5,27.640571428571427,31.60759493670886,28.354430379746837,29.344990604266567,2
