Date,Alky pH 4.5,Chloride Ion,Orthophospht,Sulphate SO4,Ammonia(N),TurbidityNTU,Temp Water,Cond @ 25C,Oxygen Diss,pH,BOD ATU,COD as O2,Nitrate-N,Nitrite-N,Hardness,SALinsitu,ALL_RUNS,Average_count
2012-01-02,202.70232968862308,290.16173684969317,0.39502868302120125,287.0180996657894,1.550880918628636,10.138016585373801,12.882616069580212,1115.134318689249,9.36983705890202,7.887049297876376,41.80672687035802,259.46215133635064,8.194472322502545,0.06329159045435155,313.0257580640279,22.524548903620225,1.0,1.0
2012-01-04,193.6,122.52087912087914,0.5476614173228346,89.08333333333333,2.21317032967033,7.594117647058825,6.921075268817204,1301.784946236559,9.002637168141593,7.729411764705884,37.85089947089947,174.55643564356436,10.337000000000002,0.06329159045435155,307.2,20.572222222222226,2.0,2.0
2012-01-05,181.4909090909091,113.36984126984129,0.5044102564102565,71.92,1.1846728395061727,14.75,7.390232558139535,1087.367088607595,10.031494382022473,7.860329670329671,16.17244680851064,140.8111111111111,10.844410256410256,0.0680465909090909,283.5,14.195,1.3333333333333333,1.3333333333333333
2012-01-06,225.5897435897436,76.54444444444444,0.38097560975609757,131.5,0.6509090909090909,10.138016585373801,6.379655172413793,824.3923076923077,10.8655,7.825333333333335,39.5549358974359,174.59166666666667,9.376546874999999,0.05237397260273973,318.0,20.026666666666667,4.647058823529412,2.6470588235294117
2012-01-08,202.70232968862308,290.16173684969317,0.39502868302120125,287.0180996657894,1.550880918628636,10.138016585373801,6.61,1115.134318689249,9.36983705890202,7.887049297876376,41.80672687035802,259.46215133635064,8.194472322502545,0.06329159045435155,313.0257580640279,22.524548903620225,29.357142857142858,21.373015873015873
2012-01-09,220.68421052631578,142.3015873015873,0.8191666666666667,886.4,2.830066265060241,9.246153846153847,9.04486111111111,1176.5,10.089863013698631,7.884347826086957,7.5751968503936995,66.10714285714286,10.654855263157895,0.06329159045435155,307.0,22.524548903620225,45.0,45.0
2012-01-10,200.88235294117646,290.16173684969317,0.6735,132.42222222222222,1.0173525641025642,6.0120000000000005,8.677794117647059,1115.134318689249,10.098571428571429,7.793837209302328,59.300232558139534,253.42222222222222,10.186489130434781,0.07363551401869159,304.8833333333333,25.07,41.2,23.8
2012-01-13,267.125,112.648,0.5089534883720931,85.13333333333334,2.881448275862069,4.955555555555556,7.257025316455694,926.4958333333334,10.255641025641024,7.857178571428571,45.762589285714284,291.8095238095238,8.90021875,0.06503030303030302,290.0,21.933,27.333333333333332,14.0
2012-01-16,216.92857142857142,361.46,0.47674418604651164,118.95,1.3552317880794702,35.1,4.5597890625,1490.1313432835818,11.696172839506172,7.743488372093022,22.51736434108527,147.39583333333334,10.564345679012346,0.06855368421052631,313.0257580640279,23.973,29.954545454545453,28.863636363636363
2012-01-17,235.390243902439,162.8142857142857,0.8191910112359553,213.33333333333334,4.351483443708609,16.451851851851853,3.95951048951049,1156.4493827160493,12.12423913043478,7.839619047619048,17.92378640776699,113.72456140350876,9.471520833333335,0.04916203703703704,347.0,22.524548903620225,12.125,6.5
